               fitness_breakdown: ordering=0.146s | prefix=0.096s | score=0.009s | pop=100 

[Gen:047/100] Fitness(norm) : (best=100.0000, avg=2.8000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=39.5, max=45) | BestSensors=23 (corner=8)
[Profile Gen 047] fitness=1.749s | selection=0.000s | repro=0.965s (crossover=0.204s, mutation=0.760s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.146s | prefix=0.096s | score=0.009s | pop=100 

[Gen:048/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=39.6, max=45) | BestSensors=23 (corner=8)
[Profile Gen 048] fitness=1.767s | selection=0.000s | repro=1.062s (crossover=0.218s, mutation=0.843s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.152s | prefix=0.100s | score=0.009s | pop=100 

[Gen:049/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=39.8, max=45) | BestSensors=23 (corner=8)
[Profile Gen 049] fitness=1.773s | selection=0.000s | repro=0.994s (crossover=0.200s, mutation=0.793s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.146s | prefix=0.096s | score=0.009s | pop=100 

[Gen:050/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=40.0, max=45) | BestSensors=23 (corner=8)
[Profile Gen 050] fitness=1.774s | selection=0.000s | repro=0.899s (crossover=0.202s, mutation=0.697s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.143s | prefix=0.096s | score=0.009s | pop=100 

